con,joint,peak,sub,value
nh,ank,max,1,102.875215180762
nh,ank,max,2,106.571373973173
nh,ank,max,3,103.132760186412
nh,ank,max,4,115.732642721407
nh,ank,max,5,101.146921644702
nh,ank,max,6,105.318613697501
nh,ank,max,7,106.223915140769
nh,ank,max,8,118.609264286266
nh,ank,max,9,112.152798440597
nh,ank,max,10,115.637434278937
nh,ank,max,11,106.838509253895
nh,ank,max,12,115.030910746631
nh,ank,max,13,104.608697761087
nh,ank,max,14,110.889226818365
nh,ank,min,1,66.5766181339937
nh,ank,min,2,69.2513526298018
nh,ank,min,3,71.0912876100251
nh,ank,min,4,72.2167319835316
nh,ank,min,5,69.4274877688464
nh,ank,min,6,65.9174177422243
nh,ank,min,7,76.4128928863301
nh,ank,min,8,77.5737362311869
nh,ank,min,9,76.9479311438168
nh,ank,min,10,71.5541883146062
nh,ank,min,11,71.7984395282409
nh,ank,min,12,74.0106463149015
nh,ank,min,13,69.5822871943081
nh,ank,min,14,74.6647131628149
nh,kne,max,1,160.368902406973
nh,kne,max,2,162.98837163252
nh,kne,max,3,165.964059113878
nh,kne,max,4,171.471183231744
nh,kne,max,5,165.025124229964
nh,kne,max,6,168.599822790763
nh,kne,max,7,167.843354083931
nh,kne,max,8,179.127639181912
nh,kne,max,9,168.874630343283
nh,kne,max,10,177.933626505464
nh,kne,max,11,174.495274716326
nh,kne,max,12,174.042603924064
nh,kne,max,13,166.673193293179
nh,kne,max,14,176.545974810416
nh,kne,min,1,134.56831301577
nh,kne,min,2,133.47308729284
nh,kne,min,3,141.634529252486
nh,kne,min,4,140.175637337656
nh,kne,min,5,138.600631410374
nh,kne,min,6,140.493009023105
nh,kne,min,7,142.482835601358
nh,kne,min,8,147.638562085208
nh,kne,min,9,145.676256281909
nh,kne,min,10,148.246884812748
nh,kne,min,11,144.120996863421
nh,kne,min,12,145.659609087495
nh,kne,min,13,140.428634143156
nh,kne,min,14,152.332192638341
nh,hip,max,1,150.91539241903
nh,hip,max,2,168.918848930808
nh,hip,max,3,161.588664083481
nh,hip,max,4,161.478819632097
nh,hip,max,5,164.496099795173
nh,hip,max,6,172.609731776995
nh,hip,max,7,171.875881387626
nh,hip,max,8,161.389060689281
nh,hip,max,9,170.812735414715
nh,hip,max,10,168.580682446816
nh,hip,max,11,171.403458498296
nh,hip,max,12,166.374629925279
nh,hip,max,13,165.072440618487
nh,hip,max,14,172.509447341526
nh,hip,min,1,142.822337089987
nh,hip,min,2,162.611562713595
nh,hip,min,3,153.263600935502
nh,hip,min,4,149.368618529927
nh,hip,min,5,156.553414844906
nh,hip,min,6,160.443091490409
nh,hip,min,7,159.578161677753
nh,hip,min,8,145.195064684924
nh,hip,min,9,162.55217098741
nh,hip,min,10,156.148325356315
nh,hip,min,11,158.660336672278
nh,hip,min,12,159.533073764689
nh,hip,min,13,154.614988936817
nh,hip,min,14,162.657759070396
nh,ank,rom,1,36.7271870865541
nh,ank,rom,2,37.5954293363235
nh,ank,rom,3,32.9284487926599
nh,ank,rom,4,43.7773698315476
nh,ank,rom,5,32.2605524834465
nh,ank,rom,6,39.8101550761391
nh,ank,rom,7,30.2311741604525
nh,ank,rom,8,41.5121020429275
nh,ank,rom,9,35.6989530535305
nh,ank,rom,10,44.5952887675341
nh,ank,rom,11,35.7070140558131
nh,ank,rom,12,41.3556300331565
nh,ank,rom,13,35.9159611814162
nh,ank,rom,14,36.7020998001099
nh,kne,rom,1,26.154821620268
nh,kne,rom,2,29.7576491552241
nh,kne,rom,3,25.2186716542099
nh,kne,rom,4,31.4626126722856
nh,kne,rom,5,27.2277247905731
nh,kne,rom,6,28.2972039054422
nh,kne,rom,7,25.7308496727663
nh,kne,rom,8,32.2921814692261
nh,kne,rom,9,23.5875889413497
nh,kne,rom,10,29.9741167198757
nh,kne,rom,11,30.6900353308986
nh,kne,rom,12,28.7612124576288
nh,kne,rom,13,26.8674910208758
nh,kne,rom,14,24.6412320202764
nh,hip,rom,1,8.35883558497709
nh,hip,rom,2,6.5590317810283
nh,hip,rom,3,9.30542395331643
nh,hip,rom,4,12.3084159908873
nh,hip,rom,5,8.32909854720621
nh,hip,rom,6,12.3882673277574
nh,hip,rom,7,12.5349755567663
nh,hip,rom,8,16.6664508511038
nh,hip,rom,9,8.8546641924802
nh,hip,rom,10,12.7321400922887
nh,hip,rom,11,13.0158757286913
nh,hip,rom,12,7.02928522053887
nh,hip,rom,13,10.9914169311523
nh,hip,rom,14,10.1679944220711
dg,ank,max,1,109.767343318824
dg,ank,max,2,112.075516589389
dg,ank,max,3,104.864986276193
dg,ank,max,4,115.57798054611
dg,ank,max,5,96.9342905942399
dg,ank,max,6,96.738189081142
dg,ank,max,7,109.686389838527
dg,ank,max,8,111.84262417064
dg,ank,max,9,113.719497728909
dg,ank,max,10,113.273004401431
dg,ank,max,11,108.473831716706
dg,ank,max,12,113.343107353379
dg,ank,max,13,95.958537856279
dg,ank,max,14,109.791533265394
dg,ank,min,1,74.366051049955
dg,ank,min,2,72.3762147819295
dg,ank,min,3,70.9046051310048
dg,ank,min,4,71.306110014635
dg,ank,min,5,69.9743198338677
dg,ank,min,6,63.3783706721137
dg,ank,min,7,77.4781077658429
dg,ank,min,8,71.1066347360611
dg,ank,min,9,78.8086988600562
dg,ank,min,10,72.1684458900901
dg,ank,min,11,72.0493532873602
dg,ank,min,12,75.1011083855348
dg,ank,min,13,64.8259974446016
dg,ank,min,14,75.9216523748286
dg,kne,max,1,158.318635605321
dg,kne,max,2,165.063743329048
dg,kne,max,3,168.894727010438
dg,kne,max,4,173.254087169819
dg,kne,max,5,157.447313017845
dg,kne,max,6,159.77720794818
dg,kne,max,7,171.478790286008
dg,kne,max,8,177.411157315118
dg,kne,max,9,169.861038991984
dg,kne,max,10,172.235384216449
dg,kne,max,11,169.578956434113
dg,kne,max,12,175.664488490496
dg,kne,max,13,167.670887383643
dg,kne,max,14,176.451884138181
dg,kne,min,1,137.239847978534
dg,kne,min,2,143.398543643951
dg,kne,min,3,147.682146572922
dg,kne,min,4,145.03767670996
dg,kne,min,5,141.536606693829
dg,kne,min,6,135.825913642435
dg,kne,min,7,144.053659717335
dg,kne,min,8,151.365114448772
dg,kne,min,9,147.539014090931
dg,kne,min,10,143.526167435646
dg,kne,min,11,144.00660099843
dg,kne,min,12,143.716964228013
dg,kne,min,13,144.840416172252
dg,kne,min,14,152.83233714272
dg,hip,max,1,163.962175926873
dg,hip,max,2,178.214344911419
dg,hip,max,3,169.220824587056
dg,hip,max,4,167.142384918017
dg,hip,max,5,168.407077851015
dg,hip,max,6,164.286287204799
dg,hip,max,7,171.047825124685
dg,hip,max,8,177.080448606325
dg,hip,max,9,174.212087090366
dg,hip,max,10,169.698666645078
dg,hip,max,11,173.972170898213
dg,hip,max,12,174.331576997743
dg,hip,max,13,169.980177965865
dg,hip,max,14,168.151030556595
dg,hip,min,1,158.018938909877
dg,hip,min,2,169.662765994843
dg,hip,min,3,158.346228577151
dg,hip,min,4,153.035890835313
dg,hip,min,5,164.058968220038
dg,hip,min,6,152.852327142042
dg,hip,min,7,152.511211667061
dg,hip,min,8,162.502017015149
dg,hip,min,9,162.306791476081
dg,hip,min,10,157.059329909717
dg,hip,min,11,158.161224528481
dg,hip,min,12,161.030982964179
dg,hip,min,13,159.437066975762
dg,hip,min,14,159.674702346325
dg,ank,rom,1,35.7409042589592
dg,ank,rom,2,40.0988884112414
dg,ank,rom,3,34.5684272737214
dg,ank,rom,4,44.5959288092221
dg,ank,rom,5,27.6428258138544
dg,ank,rom,6,34.0638606531874
dg,ank,rom,7,33.0274087541244
dg,ank,rom,8,41.2067614162669
dg,ank,rom,9,35.2851127175724
dg,ank,rom,10,42.1081311562482
